"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","10","3.200","20.0","20.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Legal Writing-Foreign Stdts","603
001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology and Law","641
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","713
001","55","3.436","36.4","14.5","49.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
002","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Process","Course Total","70","3.479","37.1","21.4","41.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","721
001","52","3.500","48.1","13.5","32.7","1.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"","721
002","13","3.364","38.5","7.7","23.1","7.7","7.7",".",".","7.7",".",".",".",".",".",".","7.7","."
"Contracts II","Course Total","65","3.476","46.2","12.3","30.8","3.1","4.6",".",".","1.5",".",".",".",".",".",".","1.5","."
"","723
001","20","3.200","25.0","20.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
002","22","3.205","9.1","27.3","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","22","3.409","36.4","9.1","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
723","22","3.295","18.2","27.3","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","21","2.833","4.8","23.8","38.1","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","723
006","20","3.025","15.0","25.0","45.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","723
007","22","3.364","31.8","18.2","45.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","723
008","23","3.478","39.1","21.7","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","20","3.550","45.0","20.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","22","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
723","21","3.310","14.3","33.3","52.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","21","3.333","38.1","14.3","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","013
723","22","3.045","18.2","9.1","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","278","3.264","23.4","23.4","43.2","5.8","3.6",".","0.7",".",".",".",".",".",".",".",".","."
"","724
001","88","3.472","45.5","17.0","29.5","2.3","4.5","1.1",".",".",".",".",".",".",".",".",".","."
"","724
002","120","3.488","40.8","21.7","31.7","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"","724
003","88","3.392","33.0","25.0","33.0","5.7",".","3.4",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","296","3.454","39.9","21.3","31.4","4.7","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","725
001","85","3.371","34.1","23.5","30.6","5.9","1.2","4.7",".",".",".",".",".",".",".",".",".","."
"","725
002","70","3.557","45.7","25.7","24.3","2.9",".","1.4",".",".",".",".",".",".",".",".",".","."
"","725
003","63","3.492","39.7","22.2","34.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","725
004","55","3.473","32.7","36.4","27.3",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","273","3.467","38.1","26.4","29.3","3.3","0.4","2.6",".",".",".",".",".",".",".",".",".","."
"","731
001","92","3.391","34.8","20.7","34.8","7.6","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"","002
731","28","3.480","42.9","3.6","39.3","3.6",".",".",".","10.7",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","120","3.410","36.7","16.7","35.8","6.7","0.8","0.8",".","2.5",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","26","3.263","30.8","7.7","23.1",".","3.8","7.7",".","26.9",".",".",".",".",".",".",".","."
"Trusts and Estates","733
001","101","3.343","21.8","13.9","8.9","3.0",".","5.9",".","46.5",".",".",".",".",".",".",".","."
"Marital Property","734
001","22","3.650","59.1","4.5","22.7","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"Payments Systems","735
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Secured Transactions","001
736","34","3.552","41.2","14.7","26.5","2.9",".",".",".","14.7",".",".",".",".",".",".",".","."
"","740
001","62","3.484","37.1","22.6","37.1","1.6",".",".",".",".",".",".",".",".",".",".","1.6","."
"","740
002","40","3.600","42.5","35.0","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","102","3.530","39.2","27.5","31.4","1.0",".",".",".",".",".",".",".",".",".",".","1.0","."
"","741
001","28","3.325","32.1","14.3","14.3","3.6",".","7.1",".","28.6",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 314 of 375",""
