"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","186","2.844","21.5","12.9","18.8","11.3","30.6","2.7","0.5","1.6",".",".",".",".",".",".",".","."
"132","002","","188","2.785","19.1","14.9","16.0","12.2","33.5","4.3",".",".",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","374","2.814","20.3","13.9","17.4","11.8","32.1","3.5","0.3","0.8",".",".",".",".",".",".",".","."
"299","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"332
Human Nutritional Needs","001","","83","3.157","21.7","22.9","32.5","10.8","12.0",".",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","20","2.900","15.0","35.0","15.0","25.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","49","2.980","12.2","24.5","36.7","8.2","16.3",".","2.0",".",".",".",".",".",".",".",".","."
"434
Nutri-Life Span(Affiliatn)","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","49","3.153","24.5","30.6","18.4","12.2","10.2","4.1",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"616
Adv Nutr:Intgratn-Metabolsm","001","","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis-Nutrition","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","5","***","","","","","","","","","","","","","","","",""
"881
Smr-Human&Clinicl Nutrition","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","23","4.000","17.4",".",".",".",".",".",".","82.6",".",".",".",".",".",".",".","."
"991","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 34 of 375"
