"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
001","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","002
134","15","3.350","13.3","33.3","13.3",".","6.7",".",".","33.3",".",".",".",".",".",".",".","."
"","134
003","16","3.438","18.8","6.3","25.0",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","134
004","12","3.929","50.0","8.3",".",".",".",".",".","33.3",".",".",".",".",".","8.3",".","."
"","005
134","14","3.778","42.9","14.3","7.1",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","134
006","20","3.474","55.0","15.0","5.0","5.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"","007
134","17","3.875","35.3","11.8",".",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"","008
134","17","3.667","41.2","35.3","11.8",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","126","3.657","40.5","15.9","7.9","0.8","3.2",".",".","31.0",".",".",".",".",".","0.8",".","."
"","138
001","20","3.233","5.0","25.0","45.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","002
138","16","3.278","6.3","18.8","31.3",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"","003
138","16","3.357","6.3","18.8","18.8",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"","138
004","19","3.583","21.1","31.6","10.5",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","005
138","19","3.227","5.3","15.8","36.8",".",".",".",".","36.8","5.3",".",".",".",".",".",".","."
"","138
006","15","3.143",".","20.0","20.0","6.7",".",".",".","53.3",".",".",".",".",".",".",".","."
"Golf I","Course Total","105","3.311","7.6","21.9","27.6","1.0",".",".",".","41.0","1.0",".",".",".",".",".",".","."
"","140
001","19","3.643","36.8","26.3","5.3","5.3",".",".",".","21.1",".",".",".",".",".","5.3",".","."
"","002
140","22","3.688","18.2","13.6","4.5",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"","140
003","18","3.167","27.8",".","16.7","11.1","11.1",".",".","33.3",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","59","3.485","27.1","13.6","8.5","5.1","3.4",".",".","40.7",".",".",".",".",".","1.7",".","."
"","001
145","15","3.250","13.3",".","20.0","6.7",".",".",".","60.0",".",".",".",".",".",".",".","."
"","145
002","13","3.250","23.1","7.7","38.5",".","7.7",".",".","23.1",".",".",".",".",".",".",".","."
"Ice Skating II","Course Total","28","3.250","17.9","3.6","28.6","3.6","3.6",".",".","42.9",".",".",".",".",".",".",".","."
"Badminton I","155
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","157
001","19","3.269","26.3","15.8","21.1",".",".",".","5.3","31.6",".",".",".",".",".",".",".","."
"","157
002","20","3.417","25.0","30.0","30.0","5.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","157
003","27","3.212","7.4","33.3","48.1","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"Fencing I","Course Total","66","3.289","18.2","27.3","34.8","4.5",".",".","1.5","13.6",".",".",".",".",".",".",".","."
"","001
162","18","3.938","38.9","5.6",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"","162
002","19","3.700","15.8","5.3","5.3",".",".",".",".","73.7",".",".",".",".",".",".",".","."
"Tennis I","Course Total","37","3.846","27.0","5.4","2.7",".",".",".",".","64.9",".",".",".",".",".",".",".","."
"","163
001","11","3.600","36.4","45.5",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","163
002","19","3.588","47.4","15.8","21.1","5.3",".",".",".","10.5",".",".",".",".",".",".",".","."
"","163
003","11","3.750","54.5",".","18.2",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","004
163","11","3.429","18.2","27.3","9.1","9.1",".",".",".","36.4",".",".",".",".",".",".",".","."
"","163
005","16","3.409","18.8","25.0","18.8","6.3",".",".",".","31.3",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","68","3.557","35.3","22.1","14.7","5.9",".",".",".","22.1",".",".",".",".",".",".",".","."
"Basketball I","170
001","18","3.143","5.6","33.3","33.3",".",".","5.6",".","22.2",".",".",".",".",".",".",".","."
"Soccer I","173
001","28","2.750",".","25.0","32.1","21.4","7.1","3.6","3.6","3.6","3.6",".",".",".",".",".",".","."
"","001
175","24","3.263","4.2","50.0","8.3","16.7",".",".",".","20.8",".",".",".",".",".",".",".","."
"","175
002","27","3.294",".","40.7","18.5","3.7",".",".",".","33.3","3.7",".",".",".",".",".",".","."
"","003
175","24","3.250","33.3","8.3","8.3","12.5","12.5",".",".","20.8",".",".",".",".",".","4.2",".","."
"Volleyball I","Course Total","75","3.269","12.0","33.3","12.0","10.7","4.0",".",".","25.3","1.3",".",".",".",".","1.3",".","."
"","193
001","25","3.458","8.0","28.0","12.0",".",".",".",".","52.0",".",".",".",".",".",".",".","."
