"","990
015","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
083","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
097","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
116","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Real Estate","Course Total","6","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"REAL EST
239","Dept. Total","362","3.391","32.9","29.0","18.0","11.3","3.6","0.3","",".","4.1","",".",".","",".","",".","",".","0.3","0.3","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","73","3.141","20.5","26.0","21.9","17.8","11.0",".","",".","1.4","",".",".","",".","",".","",".",".",".","1.4"
"Senior","","151","3.270","25.2","26.5","21.2","16.6","3.3","0.7","",".","6.0","",".",".","",".","",".","",".","0.7",".","."
"Undergraduates","","224","3.226","23.7","26.3","21.4","17.0","5.8","0.4","",".","4.5","",".",".","",".","",".","",".","0.4",".","0.4"
"Special","","9","3.571","22.2","44.4","11.1",".",".",".","",".","11.1","",".",".","",".","",".","",".",".","11.1","."
"Graduate","","122","3.694","51.6","32.8","11.5","0.8",".",".","",".","3.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","2.500",".",".",".","100.0",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","6","3.250","16.7","33.3","33.3","16.7",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","7","3.143","14.3","28.6","28.6","28.6",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","362","3.391","32.9","29.0","18.0","11.3","3.6","0.3","",".","4.1","",".",".","",".","",".","",".","0.3","0.3","0.3"
