"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","19","3.421","36.8","31.6","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102","002","","18","3.528","50.0","22.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102","004","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Russian","","Course Total","","44","3.511","45.5","27.3","15.9","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Polish","112","001","","12","3.500","41.7","16.7","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav102","182","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","204","001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204","002","","18","3.639","55.6","27.8","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Russian","","Course Total","","33","3.667","51.5","36.4","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian II","276","001","","8","3.429","25.0","25.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Russ Honor Tutorial-Slav204","284","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture II","316","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Central European Cultures","317","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Year Russian II","322","001","","16","3.031","31.3","31.3","12.5",".","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"Uvod u srpsku i hrvtsku lit","342","001","","10","3.333","30.0","20.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"2nd Sem Intensive Czech","352","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soviet Literature","440","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavic&E European Folklore","444","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist lit polsk po roku 1863","472","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang Thru Film:Contemp Sovt","535","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","10","3.979","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","20.0"
"The Structure of Russian","704","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Religious Thought","715","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Acmeism and Futurism","740","001","","8","3.667","37.5","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".","12.5",".","."
"","799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"College Teaching of Russian","820","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Soviet Literature","925","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","012","","6","4.000","33.3",".",".",".",".",".",".","50.0",".",".",".","16.7",".",".",".","."
"","991","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","","Course Total","","12","4.000","50.0",".",".",".",".",".",".","25.0",".",".",".","25.0",".",".",".","."
