"GEOGRAPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"602
Internship","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Geography","Course Total","","2","***","","","","","","","","","","","","","","","",""
"677
Special Topics in Geography","001","","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","12","3.308",".","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","3.580","23.5","47.1","17.6","5.9",".",".",".",".",".",".",".",".",".","5.9",".","."
"766
Geog Inquiry&Anal:Technique","001","","19","3.421","26.3","31.6","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar in Geography","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"901
Seminar-Cultural Geography","001","","12","3.486","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"910
Smr-Economic Geography","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","7","3.875","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Physical Geography","Course Total","","16","3.970","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Seminar in Cartography","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","10","4.000","60.0",".",".",".",".",".",".","20.0",".",".",".","20.0",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","49","4.000","51.0",".",".",".",".",".",".","26.5",".",".",".","22.4",".",".",".","."
"999","012","","6","3.500","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","9","3.765","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
