"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"201
Intro-African Lang and Lit","001","","115","3.241","19.1","27.0","44.3","1.7","6.1","0.9",".",".",".",".",".",".",".","0.9",".","."
"210
The African Storyteller","001","","376","2.872","18.6","19.1","21.3","18.9","13.0","4.8","2.9","1.1",".",".",".",".",".","0.3",".","."
"277
Africa: Introductory Survey","001","","35","3.667","48.6","34.3","8.6",".","2.9",".",".","5.7",".",".",".",".",".",".",".","."
"300
African Lit in Translation","001","","16","2.781","12.5","31.3","31.3",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"304
Monitrd Lang Training-Basic","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"322
Second Semester Arabic","001","","19","3.300","36.8","21.1","21.1","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"324
Fourth Semester Arabic","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Second Semester Swahili","001","","16","3.552","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"334
Fourth Semester Swahili","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"364
Fourth Semester Hausa","001","","8","3.188","50.0","12.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"372
Second Semester Yoruba","001","","9","2.674",".","44.4","33.3",".",".",".","22.2",".",".",".",".",".",".",".",".","."
"375
Civilization-Ancient Egypt","001","","9","2.667",".","33.3","33.3","11.1",".","22.2",".",".",".",".",".",".",".",".",".","."
"399
Directed Study-African Lang","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"411
African Poetry","001","","14","3.583","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"436
Adv Studies-Swahili Lang-Rd","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"446
Readings-Adv Arabic Texts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"476
Sixth Semester Yoruba","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Struct&Analysis-Afric Langs","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"669
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"701
Adv Topics-African Linguis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902
Smr-Traditional African Lit","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Comprtv Grammar-Semitc Lang","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","13","4.000","53.8",".",".",".",".",".",".","30.8",".",".",".","7.7",".",".","7.7","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
