"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"402
Pathophys Princ-Hum Disease","001","","94","3.215","1.1","42.6","53.2","2.1",".",".",".",".",".",".",".",".",".",".","1.1","."
"404
Pathophys Princ-Hum Disease","001","","267","3.315","3.4","59.2","34.5","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"703
General Pathology","001","","143","3.182","25.9",".","66.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"709
Topics-Cell Struct & Functn","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","55","3.500","32.7","40.0","16.4","5.5","1.8",".",".","3.6",".",".",".",".",".",".",".","."
"911
Intro-Forensic Pathol-MSC","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Lab Med: Clin Chem Elec-CSC","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Lab Med: Clin Hematl El-CSC","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","25","4.000","56.0",".",".",".",".",".",".","36.0",".",".",".","8.0",".",".",".","."
