"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","54","3.102","27.8","18.5","25.9","9.3","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"215","002","","73","3.021","26.0","17.8","27.4","8.2","13.7","5.5","1.4",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","127","3.055","26.8","18.1","26.8","8.7","14.2","4.7","0.8",".",".",".",".",".",".",".",".","."
"299
Independent Study","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","8","2.571",".","12.5",".","62.5","12.5",".",".",".",".",".",".",".",".",".",".","12.5"
"319
The Internatl Ag Economy","001","","26","2.692","19.2","7.7","23.1","23.1","19.2",".","7.7",".",".",".",".",".",".",".",".","."
"336
Agric & Natrl Resources Law","001","","24","3.354","25.0","25.0","45.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","11","2.737","27.3",".","27.3",".","27.3","9.1",".",".",".",".",".",".",".",".","9.1","."
"350
World Hunger & Malnutrition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"421
Econ Analysis-Agric Markets","001","","29","2.672","6.9","20.7","27.6","17.2","13.8","13.8",".",".",".",".",".",".",".",".",".","."
"461
Structure of Amer Industry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"474
Econ Probs-Developing Areas","001","","17","3.491","35.3","23.5","23.5","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Special Topics","001","","11","3.903","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.654","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Institutional Economics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"732
Microeconomics-Ag Develpmt","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
State,Local&Intergovmt Econ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Dynnamc Natrl Resource Econ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","7","3.921","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","14.3"
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","4.000","68.0",".",".",".",".",".",".","16.0",".",".",".","12.0",".",".",".","4.0"
"999","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 1 of 375"
