"TERM : 0974","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1996-97","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","454","3.750","59.5","30.4","7.5","0.4","0.2","0.2","",".","1.5","",".",".","",".","0.2","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","2","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","15","3.600","46.7","40.0","6.7",".","6.7",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","18","3.556","38.9","44.4","11.1",".","5.6",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","21","3.850","66.7","28.6",".",".",".",".","",".","4.8","",".",".","",".",".","",".",".",".","."
"Graduate","415","3.753","60.0","29.9","7.7","0.5",".","0.2","",".","1.4","",".",".","",".","0.2","",".",".",".","."
"Dept. Total","454","3.750","59.5","30.4","7.5","0.4","0.2","0.2","",".","1.5","",".",".","",".","0.2","",".",".",".","."
