"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
026","17","3.353","35.3","11.8","47.1",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
027","18","3.361","27.8","27.8","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","028
344","17","3.382","35.3","17.6","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","029
344","16","3.406","31.3","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","457","3.389","33.5","23.4","34.6","6.1","1.5","0.2","0.4","0.2",".",".",".",".",".",".",".","."
"","345
001","138","2.750","18.1","3.6","34.8","2.9","38.4","1.4","0.7",".",".",".",".",".",".",".",".","."
"","345
002","270","2.664","21.1","7.4","24.1",".","38.5","4.8","3.3",".",".",".",".",".",".","0.7",".","."
"","345
003","217","2.841","18.0","9.7","36.9","6.5","24.0","3.7","1.4",".",".",".",".",".",".",".",".","."
"","345
004","33","3.561","39.4","33.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","658","2.786","20.4","8.7","30.7","2.7","31.8","3.5","2.0",".",".",".",".",".",".","0.3",".","."
"","346
001","13","3.380","23.1","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","22","3.384","27.3","36.4","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","30","3.550","50.0","20.0","23.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intmed Analytical Chem","524
001","29","2.971","34.5","6.9","27.6","6.9","13.8","6.9","3.4",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","16","3.333","43.8","6.3","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3"
"Physical Chemistry","561
001","72","2.903","18.1","15.3","27.8","6.9","31.9",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","32","3.141","31.3","15.6","18.8","18.8","15.6",".",".",".",".",".",".",".",".",".",".","."
"","563
001","19","3.421","26.3","42.1","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","16","3.469","50.0","18.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
563","18","3.500","33.3","44.4","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
563","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
563","19","3.158","26.3","10.5","42.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","006
563","18","3.222","22.2","44.4","22.2",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","563
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","110","3.420","33.6","34.5","20.9","5.5","4.5",".","0.9",".",".",".",".",".",".",".",".","."
"","564
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
002","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","564
003","6","2.917","16.7","16.7","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","17","2.971","23.5","23.5","17.6","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","001
565","58","2.741","17.2","5.2","20.7","29.3","24.1","3.4",".",".",".",".",".",".",".",".",".","."
"Laboratory Safety","607
001","33","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Chemical Crystallography","613
001","7","3.700","42.9","14.3","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentation","626
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Instrumtn:Dsgn&Control","628
001","12","3.682","41.7","41.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry","630
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elctrn Pushg Mechs-Org Chem","647
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
