"","990
031","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
033","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
034","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
038","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Thesis","Course Total","44","3.974","40.9","2.3",".",".",".",".",".","43.2","4.5",".","",".","9.1","",".",".",".","."
"SPANISH
912","Dept. Total","2111","3.129","31.1","19.8","23.4","8.2","10.7","2.2","1.9","2.1","0.1",".","",".","0.2","",".","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","435","2.944","20.0","19.1","27.8","11.0","15.9","3.9","2.1","0.2",".",".","",".",".","",".",".",".","."
"Sophomore","","600","3.143","27.8","21.2","28.7","9.8","8.3","1.7","2.0","0.2",".",".","",".",".","",".","0.2",".","0.2"
"Junior","","446","3.114","31.8","18.6","22.9","9.0","12.8","1.6","2.0","1.1",".",".","",".",".","",".","0.2",".","."
"Senior","","423","3.141","34.8","20.8","20.6","6.1","11.3","2.8","1.9","1.4",".",".","",".",".","",".","0.2",".","."
"Undergraduates","","1904","3.085","28.5","20.0","25.3","9.1","11.8","2.4","2.0","0.7",".",".","",".",".","",".","0.2",".","0.1"
"Special","","29","3.516","65.5","17.2","3.4","3.4",".","3.4","3.4","3.4",".",".","",".",".","",".",".",".","."
"Graduate","","168","3.743","52.4","16.7","7.1",".","0.6",".","0.6","17.9","1.2",".","",".","2.4","",".","0.6",".","0.6"
"Prof Yr 2","","5","3.767","40.0","40.0",".",".",".",".",".","20.0",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","4","3.857","75.0","25.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Professionals","","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".","",".",".","",".",".",".","."
"","Dept. Total","2111","3.129","31.1","19.8","23.4","8.2","10.7","2.2","1.9","2.1","0.1",".","",".","0.2","",".","0.2",".","0.1"
