"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","170","2.491","11.2","12.4","18.8","24.1","15.3","12.4","5.3","0.6",".",".",".",".",".",".",".","."
"","100","002","170","2.724","16.5","11.8","22.4","18.8","23.5","4.1","2.9",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","340","2.608","13.8","12.1","20.6","21.5","19.4","8.2","4.1","0.3",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","58","2.772","15.5","15.5","17.2","19.0","27.6","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","355","3.335","31.3","31.3","23.1","7.9","2.8","0.6","2.0","1.1",".",".",".",".",".",".",".","."
"Human Biology Laboratory","106","001","15","3.167","26.7","20.0","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Evolution of Human Species","107","001","230","2.395","10.9","4.8","22.2","14.8","32.2","10.4","4.3","0.4",".",".",".",".",".",".",".","."
"Intro Archaeol-Native N Am","208","001","42","3.143","16.7","23.8","40.5","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Anthropology of Japan","220","001","17","3.302","47.1","11.8","23.5","5.9",".",".","5.9",".",".",".",".",".",".","5.9",".","."
"Latin America-Introduction","260","001","12","3.417","66.7","8.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","25","3.360","28.0","40.0","28.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","8","2.375","12.5",".","12.5","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","17","3.344","47.1","11.8","17.6","5.9","5.9","5.9",".","5.9",".",".",".",".",".",".",".","."
"Prehistoric Europe","309","001","33","3.078","21.2","24.2","30.3","3.0","15.2",".","3.0","3.0",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","90","2.916","27.8","15.6","20.0","12.2","12.2","7.8","3.3",".",".",".",".",".",".","1.1",".","."
"Topics in Ethnology","330","001","28","3.179","32.1","17.9","28.6","10.7","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"Archaeology-Western N Amer","356","001","35","3.456","37.1","37.1","14.3","5.7",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Anthropology of War","374","001","31","3.948","83.9","9.7",".",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"Ceramic Analysis-Archaeolgy","392","001","20","3.175","30.0","15.0","35.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Data Analysis-Archaeology","394","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","15","2.633","6.7","13.3","26.7","6.7","46.7",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","11","3.405","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Functn&Evolutn Biol-Primate","438","001","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"Stdy Abroad:Topics-Archaeol","453","201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology of South Asia","462","001","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","001","21","3.095","14.3","28.6","23.8","28.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"Phys Anthro of the Living","604","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutr Ecol of Human Evolutn","641","001","13","3.280","46.2","23.1","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","682","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Problems in Anthropology","690","001","13","3.964","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Archaeologic Meth-Curation","696","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 160 of 375",""
