"TERM : 0974","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1996-97","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"ED POL
Dept. Total
310","303","3.592","47.2","24.1","12.2","3.0","2.6","1.0","",".","5.9","0.3",".","",".","2.0","",".","0.3",".","1.3"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","8","2.929",".","12.5","50.0","25.0",".",".","",".",".",".",".","",".",".","",".",".",".","12.5"
"Junior","64","3.320","32.8","31.3","21.9","1.6","9.4","3.1","",".",".",".",".","",".",".","",".",".",".","."
"Senior","88","3.517","43.2","31.8","13.6","6.8","2.3","1.1","",".","1.1",".",".","",".",".","",".",".",".","."
"Undergraduates","160","3.411","36.9","30.6","18.8","5.6","5.0","1.9","",".","0.6",".",".","",".",".","",".",".",".","0.6"
"Special","23","3.789","60.9","8.7","13.0",".",".",".","",".","13.0",".",".","",".",".","",".","4.3",".","."
"Graduate","120","3.849","58.3","18.3","3.3",".",".",".","",".","11.7","0.8",".","",".","5.0","",".",".",".","2.5"
"Dept. Total","303","3.592","47.2","24.1","12.2","3.0","2.6","1.0","",".","5.9","0.3",".","",".","2.0","",".","0.3",".","1.3"
