"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Ecology of Fishes Lab","Course Total","","33","3.258","27.3","27.3","36.4",".","3.0","6.1",".",".",".",".",".",".",".",".",".","."
"515
Marine & Freshwatr Plankton","001","","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"516
Plankton Ecology Lab","001","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","150","3.107","30.7","12.7","34.0","2.0","17.3","2.0","1.3",".",".",".",".",".",".",".",".","."
"521","001","","18","2.917","27.8",".","33.3","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"521","002","","17","2.676","23.5","5.9","17.6",".","47.1","5.9",".",".",".",".",".",".",".",".",".","."
"521","003","","16","3.563","56.3",".","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","004","","20","3.350","50.0","20.0","5.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"521","005","","18","2.972","22.2","11.1","38.9","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Field Ornithology","Course Total","","89","3.096","36.0","7.9","27.0","6.7","19.1","2.2","1.1",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","24","3.021","20.8","8.3","29.2","37.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"525
Animal Structural Design","001","","29","3.362","24.1","31.0","37.9","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"532
Sociobiol/Social Ethology","001","","40","3.350","37.5",".","60.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"572
Laboratory in Cell Biology","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Comparative Physiology","001","","27","3.426","33.3","18.5","48.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Comparative Physiology Lab","001","","13","3.308","15.4","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"625
Development of Nervous Sys","001","","26","3.458","50.0","11.5","15.4","3.8","11.5",".",".",".",".",".",".",".",".","7.7",".","."
"651
Conservation Biology","001","","11","3.182","18.2","27.3","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"675
Modern Biologicl Microscopy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Internship in Ecology","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"680","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"680","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar","Course Total","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681
Senior Honors Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","9","3.952","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
