"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"100
Ed Found-Human&Naturl Rsrce","001","","16","3.219","25.0","12.5","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","069","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"319
Agencies&Programs Adult Ed","001","","20","3.882","70.0","10.0","5.0",".",".",".",".","10.0","5.0",".",".",".",".",".",".","."
"321
Understanding Indiv Adult","001","","26","3.860","73.1","19.2","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"322
Soc Backgrnd-Adult Learning","001","","27","3.759","66.7","22.2","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"345
Practicum in Vocational Ed","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"355
Educ Concpts/Meths for Empl","001","","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"370
Teaching Vocational Educ","001","","18","3.750","72.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","14","2.893","28.6","21.4","21.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","3.610","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Adlt Litercy&Communty Servc","001","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Intro-Eval in Cont & Voc Ed","001","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"609
Iss & Probs-Cont & Voc Educ","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Anal&Develp-Adlt Ed Philos","001","","19","3.605","21.1","78.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"643
Adult Independent Learner","001","","11","3.650","54.5","9.1","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"650
Eval-Cont Education Progrms","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"661
Org&Oper-Voc&Tech Ed Progms","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Career Dev Through Life Spn","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Research Methods","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"795","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"795","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship-Adult & Ext Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"818
Continuing Ed Pol-Higher Ed","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","7","4.000","42.9",".",".",".",".",".",".",".",".",".",".","57.1",".",".",".","."
"990","055","","17","3.938","41.2","5.9",".",".",".",".",".","41.2",".",".",".","11.8",".",".",".","."
"990","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","7","4.000","42.9",".",".",".",".",".",".",".","14.3",".",".","42.9",".",".",".","."
"990","074","","8","4.000","62.5",".",".",".",".",".",".","12.5","12.5",".",".","12.5",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 71 of 375"
