"","202
002","","3","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"The Air Force Way II","Course Total","","10","3.950","90.0","10.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Air Force Leadership&Mgt II","304
001","","7","4.000","100.0",".","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Preparation-Active Duty II","402
001","","9","3.944","88.9","11.1","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","43","3.960","90.7","9.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","12","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","13","3.923","84.6","15.4","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","8","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","9","3.944","88.9","11.1","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","3.966","92.9","7.1","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","43","3.960","90.7","9.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
