"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1532","3.062","26.5","17.3","25.2","12.9","10.9","2.3","1.7","1.8","0.1","0.1","",".","0.7","",".","0.4","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","248","2.767","16.5","9.3","24.2","22.2","20.6","5.6","1.2",".",".",".","",".",".","",".","0.4",".","."
"Sophomore","","346","2.988","23.4","19.1","26.0","11.3","13.3","3.8","2.3",".",".",".","",".",".","",".","0.9",".","."
"Junior","","356","3.029","22.5","18.0","30.9","15.2","9.0","1.1","3.1",".",".",".","",".",".","",".","0.3",".","."
"Senior","","378","3.111","23.8","22.2","26.7","11.4","10.1","1.3","1.1","2.6","0.3","0.3","",".",".","",".","0.3",".","."
"Undergraduates","","1328","2.986","22.0","17.8","27.2","14.4","12.6","2.7","2.0","0.8","0.1","0.1","",".",".","",".","0.5",".","."
"Special","","13","3.283","23.1","15.4","30.8","7.7",".",".",".","15.4",".",".","",".",".","",".",".","7.7","."
"Graduate","","191","3.740","58.1","13.6","11.0","3.1",".",".",".","7.9",".",".","",".","5.8","",".",".",".","0.5"
"","Dept. Total","1532","3.062","26.5","17.3","25.2","12.9","10.9","2.3","1.7","1.8","0.1","0.1","",".","0.7","",".","0.4","0.1","0.1"
