"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"100","001","","12","3.375","33.3","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"100","002","","15","3.233",".","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","003","","14","3.071","7.1","35.7","42.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"100","004","","14","3.071","14.3","14.3","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"100","005","","13","3.077","7.7","23.1","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"100","006","","14","3.071","7.1","64.3","7.1","7.1",".","14.3",".",".",".",".",".",".",".",".",".","."
"100","007","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","008","","14","3.036","14.3","28.6","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"100","009","","14","3.250","7.1","64.3","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"100","010","","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","011","","13","3.308","30.8","15.4","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"100","012","","13","3.154","7.7","38.5","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","013","","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","014","","15","3.367","13.3","60.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","015","","15","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","016","","14","3.071","7.1","35.7","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"100","017","","13","3.308","23.1","46.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"100","018","","13","3.346","23.1","38.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"100","019","","15","3.000","6.7","20.0","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","020","","16","2.969","18.8","31.3","37.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"100","021","","14","3.393","14.3","50.0","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","022","","13","3.417","38.5","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".","7.7",".","."
"100","023","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","024","","13","3.462","15.4","69.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","025","","12","3.208","33.3","33.3","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"100","026","","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","027","","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","028","","13","3.038",".","46.2","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"100","029","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","030","","15","2.967",".","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","031","","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","032","","15","3.333","13.3","46.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","033","","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","034","","13","3.385","15.4","46.2","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","035","","15","3.433","20.0","46.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","036","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","037","","14","3.464","42.9","7.1","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","038","","15","3.600","53.3","13.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","039","","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","040","","13","3.346",".","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","041","","14","3.464","42.9","21.4","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"100","042","","13","3.077","15.4","23.1","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"100","043","","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","044","","14","3.286","7.1","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","047","","12","3.208","16.7","41.7","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","Course Total","","627","3.336","24.2","35.6","30.3","6.4","1.9","1.0","0.5",".",".",".",".",".",".","0.2",".","."
