"Intro to Chicano Studies","101
001","","33","3.621","54.5","24.2","15.2","3.0","3.0",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Intro-Chicano & Chicana Lit","234
001","","29","3.333","27.6","27.6","31.0",".","3.4","3.4",".","","6.9",".","",".",".","",".","",".","",".",".","."
"Topics in Chicano/a Studies","330
001","","26","3.760","69.2","11.5","11.5","3.8",".",".",".","",".",".","",".",".","",".","",".","",".","3.8","."
"CHICLA
228","Dept. Total","","88","3.571","50.0","21.6","19.3","2.3","2.3","1.1","",".","2.3","",".",".","",".","",".","",".",".","1.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","7","3.071","14.3","28.6","28.6","14.3","14.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","28","3.607","50.0","28.6","17.9",".","3.6",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","23","3.667","56.5","13.0","17.4","4.3",".",".","",".","4.3","",".",".","",".","",".","",".",".","4.3","."
"Senior","","","28","3.556","50.0","21.4","21.4",".",".","3.6","",".","3.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","86","3.560","48.8","22.1","19.8","2.3","2.3","1.2","",".","2.3","",".",".","",".","",".","",".",".","1.2","."
"Graduate","","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","88","3.571","50.0","21.6","19.3","2.3","2.3","1.1","",".","2.3","",".",".","",".","",".","",".",".","1.1","."
