"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","9","3.125","33.3","33.3","11.1",".","11.1","11.1",".",".","",".",".","",".",".","",".",".",".","."
"Junior","49","2.811","8.2","28.6","18.4","20.4","18.4","2.0","4.1",".","",".",".","",".",".","",".",".",".","."
"Senior","85","3.166","27.1","28.2","21.2","8.2","10.6","3.5",".",".","",".",".","",".",".","",".",".","1.2","."
"Undergraduates","145","3.012","20.7","28.3","19.3","11.7","14.5","3.4","1.4",".","",".",".","",".",".","",".",".","0.7","."
"Special","4","3.500",".","75.0",".",".",".",".",".","25.0","",".",".","",".",".","",".",".",".","."
"Graduate","103","3.883","53.4","8.7","3.9",".",".",".",".","33.0","",".",".","",".","1.0","",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
