"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Organization of Information","551","001","","38","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561","001","","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571","001","","36","3.486","16.7","63.9","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Story Telling & Oral Lit","624","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Literature","631","001","","30","3.817","73.3","23.3",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651","001","","19","3.579","47.4","31.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Government Info Sources","653","001","","32","3.766","59.4","34.4","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654","001","","38","3.816","65.8","31.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Printing","671","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preserv/Conserv-Lib Matls","678","001","","26","3.731","73.1",".","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate&Special Info Serv","732","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Rsch Meths-L I S","810","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indexing","817","001","","22","3.591","45.5","45.5","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","29","3.776","55.2","44.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828","001","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Interests of Adults","841","001","","26","3.708","42.3","46.2","3.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","855","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Fndations Lib&Info St","950","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Archives: Manuscripts Adm","977","001","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","15","3.889","53.3",".","6.7",".",".",".",".","33.3",".",".",".","6.7",".",".",".","."
"","999","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","22","3.975","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
