"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","10","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","048","","14","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","16","3.942","50.0","6.3",".",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"Research-Organic","Course Total","","95","3.969","71.6","1.1","1.1",".",".",".",".","24.2",".",".",".","2.1",".",".",".","."
"992","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","008","","7","4.000","57.1",".",".",".",".",".",".","28.6",".",".",".","14.3",".",".",".","."
"992","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"992","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","025","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"992","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","046","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Physical","Course Total","","43","3.935","67.4","2.3","2.3",".",".",".",".","23.3",".",".",".","4.7",".",".",".","."
"993","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"993","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"993","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","029","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".",".","."
"993","039","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"993","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"993","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","049","","7","4.000","42.9",".",".",".",".",".",".","28.6",".",".",".","28.6",".",".",".","."
"Research-Analytical","Course Total","","36","3.970","69.4","2.8",".",".",".",".",".","11.1",".",".",".","16.7",".",".",".","."
"994","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"994","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","011","","7","4.000","57.1",".",".",".",".",".",".","28.6",".",".",".","14.3",".",".",".","."
"994","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
