"MATERIALS SCI AND ENGINEERI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Sci for Non-Engrs","150","001","","11","3.318","36.4","9.1","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Materials","250","001","","23","3.435","34.8","52.2","4.3",".",".","8.7",".",".",".",".",".",".",".",".",".","."
"Mat Sci&Engr Prob Solvng I","271","001","","18","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Materials","330","001","","21","3.025","23.8","9.5","33.3","14.3","9.5","4.8",".","4.8",".",".",".",".",".",".",".","."
"Transport Phenom-Metallurgy","331","001","","21","3.524","47.6","19.0","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Microprocessing-Materials","333","001","","24","3.250","20.8","29.2","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","350","001","","96","3.271","29.2","15.6","44.8","3.1","6.3","1.0",".",".",".",".",".",".",".",".",".","."
"Transformation of Solids","352","001","","23","2.833","21.7","4.3","34.8","17.4",".","8.7","4.3","8.7",".",".",".",".",".",".",".","."
"Microscopy&Properties-Matls","360","001","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Materials Lab Practice","361","001","","15","2.900","13.3","26.7","6.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Materials Process-Unit Oper","370","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Design Project II","390","001","","16","3.563","43.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Deformation of Solids","441","001","","26","2.923","26.9","30.8","19.2",".","3.8","11.5","7.7",".",".",".",".",".",".",".",".","."
"Multicomponent Phase Equil","445","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Welding Metallurgy","462","001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Product Liability-Engr&Law","469","001","","11","3.750","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Properties-Solid Surfaces","570","001","","16","3.600","31.3","50.0","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","699","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Anal of Matrial","748","001","","11","3.625","54.5",".","9.1",".","9.1",".",".","18.2",".",".",".",".",".","9.1",".","."
"Imperfectns&Mech Properties","750","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Physical Metallurgy","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metallurgicl Thermodynamics","802","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","","Course Total","","22","4.000","40.9",".",".",".",".",".",".","59.1",".",".",".",".",".",".",".","."
"","806","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","806","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","806","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","806","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Material Processing","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","900","001","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
