"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","73","2.911","12.3","16.4","37.0","15.1","16.4","2.7",".",".",".",".",".",".",".",".",".","."
"","154","001","","15","3.100","13.3","26.7","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","154","002","","12","3.042","25.0","25.0","33.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Clothing Construction II","","Course Total","","27","3.074","18.5","25.9","37.0","3.7","11.1",".","3.7",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","17","3.324","35.3","17.6","35.3",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","13","3.000","7.7","23.1","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221","001","","63","2.690","19.0","7.9","22.2","25.4","11.1","12.7","1.6",".",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","33","3.015","12.1","24.2","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","14","3.393","50.0","21.4","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","65","3.038","13.8","18.5","33.8","29.2","4.6",".",".",".",".",".",".",".",".",".",".","."
"Textile Science Laboratory","252","001","","15","2.900","13.3","26.7","20.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","","18","3.265","16.7","33.3","33.3","5.6","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"CAD: Architecture&Interiors","323","001","","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","14","3.536","50.0","7.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","005","","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","501","006","","9","3.500","55.6","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","501","008","","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501","009","","7","3.850","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","56","3.692","64.3","19.6","10.7","1.8",".","1.8",".","1.8",".",".",".",".",".",".",".","."
"Material Culture Analysis","512","001","","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","015","","11","3.289","27.3","18.2","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","601","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","14","3.400","42.9","14.3","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Dyeing of Fibrous Material","620","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Interior Design III","622","001","","21","3.381","28.6","33.3","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative World Costume","655","001","","13","2.962","38.5","7.7","15.4","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"","699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","6","3.107","33.3","50.0",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","9","3.350","66.7",".","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 145 of 375",""
