"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","31","3.800","71.0","12.9","12.9",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"Admin-Teachng&Learng Org I","702","001","","23","3.783","69.6","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adm-Pupil Serv El/Scndry Ed","735","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","42","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin-Commnty Ed-Sch Settng","780","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","26","3.920","80.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8"
"Eval:Adm Decision Making-Ed","826","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","24","3.957","91.7",".","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"The School Principalship","845","001","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","16","3.964","81.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Acadmc Prgrms-Col&Universty","880","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Smr-Dissertation Rsch","925","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","001","","22","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".","4.5","4.5","."
"","940","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","9","3.643","33.3","33.3","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Smr in Educational Admin","","Course Total","","40","3.917","77.5","10.0","2.5",".",".",".",".","5.0",".",".",".",".",".","2.5","2.5","."
"Smr-Politics of Education","965","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Adm of Voc & Tech Educ","980","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","10","4.000","60.0",".",".",".",".",".",".","10.0",".",".",".","30.0",".",".",".","."
"","990","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"","990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","8","4.000","25.0",".",".",".",".",".",".","37.5",".",".",".","37.5",".",".",".","."
"","990","027","","7","4.000","42.9",".",".",".",".",".",".","14.3",".",".",".","42.9",".",".",".","."
"","990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","","Course Total","","62","4.000","66.1",".",".",".",".",".",".","12.9",".",".",".","21.0",".",".",".","."
"","999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","032","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","23","4.000","82.6",".",".",".",".",".",".","8.7",".",".",".","8.7",".",".",".","."
