"","990
100","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
150","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
151","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Rsch in Human Cancer Bio","Course Total","","22","3.806","81.8",".","13.6",".","",".","",".","",".","",".","",".",".","",".","4.5","",".",".",".","."
"H ONCOL
480","Dept. Total","","51","3.826","58.8","7.8","5.9",".","",".","",".","",".","",".","",".","23.5","",".","2.0","",".",".","2.0","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","7","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Special","","","5","4.000","20.0",".",".",".","",".","",".","",".","",".","",".","60.0","",".",".","",".",".","20.0","."
"Graduate","","","35","3.782","54.3","8.6","8.6",".","",".","",".","",".","",".","",".","25.7","",".","2.9","",".",".",".","."
"Prof Yr 3","","","3","3.833","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","4","3.875","75.0","25.0",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","51","3.826","58.8","7.8","5.9",".","",".","",".","",".","",".","",".","23.5","",".","2.0","",".",".","2.0","."
