"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ESL: Grammar-Academic Use","Course Total","27","",".",".",".",".",".",".",".",".",".","96.3","3.7",".",".",".",".","."
"","001
116","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","116
002","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","30","",".",".",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".","."
"","117
001","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","004
117","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","117
005","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","75","",".",".",".",".",".",".",".",".",".","94.7","5.3",".",".",".",".","."
"","001
118","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
118","16","3.531","56.3","31.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","118
004","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","15","3.467","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","15","3.367","40.0","40.0","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","118
007","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","96","3.646","54.2","35.4","6.3","2.1",".",".","2.1",".",".",".",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","122
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","201
004","18","3.444","33.3","38.9","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","201
005","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
201","18","3.333","33.3","33.3","22.2",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","201
010","20","3.450","30.0","35.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","011
201","19","3.158","26.3","26.3","31.6","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","012
201","17","3.618","52.9","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","19","3.632","47.4","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","015
201","19","2.947","26.3","26.3","15.8","15.8","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"","201
016","19","3.605","36.8","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","017
201","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
018","17","3.382","29.4","29.4","35.3",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","201
019","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
020","19","3.316","36.8","26.3","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","201
021","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
022","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","024
201","16","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
025","20","3.650","45.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
026","19","3.447","21.1","52.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
028","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
029","19","3.658","47.4","47.4",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","201
030","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
031","16","3.400","25.0","37.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","201
032","19","3.526","47.4","15.8","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","444","3.515","39.4","36.5","17.8","3.6","1.4","0.2","0.9",".",".",".",".",".",".",".",".","0.2"
"","203
002","16","3.469","25.0","50.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","14","3.250","7.1","35.7","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 199 of 375",""
