"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"","320
001","","38","3.211","36.8","13.2","31.6","2.6","13.2",".","2.6",".",".",".",".",".",".",".",".","."
"","320
002","","33","2.773","9.1","15.2","36.4","24.2","9.1",".","6.1",".",".",".",".",".",".",".",".","."
"Electrodynamics II","Course Total","","71","3.007","23.9","14.1","33.8","12.7","11.3",".","4.2",".",".",".",".",".",".",".",".","."
"","001
330","","32","2.984","21.9","18.8","28.1","9.4","18.8",".","3.1",".",".",".",".",".",".",".",".","."
"","002
330","","37","2.770","24.3","5.4","21.6","8.1","35.1","5.4",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","Course Total","","69","2.870","23.2","11.6","24.6","8.7","27.5","2.9","1.4",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","","39","2.487","10.3","5.1","23.1","30.8","17.9","7.7","5.1",".",".",".",".",".",".",".",".","."
"Communication Systems","333
001","","31","2.758","12.9","16.1","22.6","6.5","41.9",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","40","2.738","17.5","10.0","15.0","32.5","17.5","7.5",".",".",".",".",".",".",".",".",".","."
"","002
335","","30","2.621","10.0","6.7","20.0","26.7","30.0","3.3",".","3.3",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","","70","2.688","14.3","8.6","17.1","30.0","22.9","5.7",".","1.4",".",".",".",".",".",".",".","."
"","340
001","","23","3.000","8.7","47.8","17.4","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"","002
340","","45","3.189","37.8","13.3","13.3","24.4","8.9","2.2",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","Course Total","","68","3.125","27.9","25.0","14.7","20.6","7.4","2.9","1.5",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","","36","2.722","19.4","22.2","11.1","22.2","11.1","5.6","8.3",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","345
001","","9","2.944","22.2","33.3","11.1","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"","350
001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","16","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","","18","3.528","11.1","83.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
350","","18","3.611","38.9","50.0","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","","69","3.659","37.7","58.0","2.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","005
351","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
351","","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","","61","3.508","32.8","41.0","23.0","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","001
352","","44","2.909","15.9","11.4","34.1","25.0","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","352
002","","34","2.941","14.7","20.6","29.4","20.6","8.8","5.9",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","78","2.923","15.4","15.4","32.1","23.1","9.0","5.1",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","","41","2.890","24.4","14.6","17.1","12.2","26.8","4.9",".",".",".",".",".",".",".",".",".","."
"","354
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","354
003","","11","3.200","9.1","36.4","27.3","18.2",".",".",".","9.1",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","27","3.385","29.6","33.3","18.5","11.1","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"","355
001","","14","2.929","28.6","7.1","14.3","21.4","28.6",".",".",".",".",".",".",".",".",".",".","."
"","355
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","16","3.000","31.3","6.3","12.5","18.8","25.0",".",".",".",".",".",".",".",".",".",".","6.3"
"","001
370","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","12","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 117 of 375",""
