"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","201
001","69","3.014","18.8","24.6","29.0","10.1","11.6","4.3","1.4",".",".",".",".",".",".",".",".","."
"","002
201","66","2.932","33.3","6.1","22.7","16.7","10.6","7.6","3.0",".",".",".",".",".",".",".",".","."
"","201
003","74","3.219","25.7","29.7","27.0","5.4","8.1",".","2.7","1.4",".",".",".",".",".",".",".","."
"Principles of Statistics I","Course Total","209","3.060","25.8","20.6","26.3","10.5","10.0","3.8","2.4","0.5",".",".",".",".",".",".",".","."
"","224
001","60","2.864","21.7","16.7","23.3","13.3","11.7","10.0","1.7","1.7",".",".",".",".",".",".",".","."
"","224
002","60","2.526","16.7",".","33.3","6.7","23.3","10.0","5.0",".",".",".",".",".",".","5.0",".","."
"","224
003","66","2.750","16.7","9.1","40.9","4.5","19.7","3.0","6.1",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","186","2.717","18.3","8.6","32.8","8.1","18.3","7.5","4.3","0.5",".",".",".",".",".","1.6",".","."
"","301
001","75","2.885","10.7","18.7","36.0","4.0","29.3",".",".",".",".",".",".",".",".",".",".","1.3"
"","301
002","80","2.963","35.0","13.8","18.8","8.8","12.5","5.0","6.3",".",".",".",".",".",".",".",".","."
"","301
003","104","3.288","36.5","14.4","29.8","8.7","10.6",".",".",".",".",".",".",".",".",".",".","."
"","301
004","58","3.009","22.4","12.1","29.3","17.2","12.1","3.4",".",".",".",".",".",".",".","3.4",".","."
"","301
005","20","3.579","50.0","15.0","25.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"Intro-Statistical Methods","Course Total","337","3.090","28.8","14.8","28.2","8.9","14.8","1.8","1.5",".",".",".",".",".",".","0.9",".","0.3"
"Intro-Statistical Meths II","302
001","29","3.638","62.1","20.7","6.9","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","7","3.214","14.3","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","65","2.641","7.7","13.8","16.9","32.3","21.5","6.2",".",".",".",".",".",".",".","1.5",".","."
"Intro to Mathematical Stat","312
001","59","3.059","16.9","28.8","22.0","16.9","13.6","1.7",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","314
001","26","3.000","15.4","7.7","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","29","3.643","44.8","37.9","10.3","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","9","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","23","3.543","34.8","47.8","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","41","3.476","34.1","36.6","24.4",".","4.9",".",".",".",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","6","3.083","33.3","16.7","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Trials","542
001","27","3.875","66.7","22.2",".",".",".",".",".","3.7",".",".",".",".",".",".","3.7","3.7"
"Stat Meth for Bioscience II","572
001","54","3.537","38.9","35.2","22.2","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","23","3.326","30.4","30.4","34.8",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
146","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
130","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
134","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Mathematical Statistics","001
710","22","3.773","68.2","18.2","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survival Anal Thry & Mthds","741
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","756
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 299 of 375",""
