"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"631
Toxicants in the Environmnt","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"632
Soil Physics Laboratory","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Computerzd Land Info Systms","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"659","001","","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"659","002","","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Survey & Photogramtry","Course Total","","17","3.294","23.5","23.5","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"679
Topic-Transprtatn&City Plan","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"698","002","","22","3.625","50.0","18.2","18.2","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"698","003","","14","3.929","42.9","7.1",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"698","004","","7","3.500",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","71.4"
"Topics:Constructn Engr&Mgmt","Course Total","","51","3.682","43.1","17.6","7.8","2.0",".",".",".","19.6",".",".",".",".",".",".",".","9.8"
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.861","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Stat Modlng-Hydrolog Systms","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"729
Spec Topics-Sanitary Engr","001","","12","3.389","16.7","25.0","33.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"730
Engr Properties of Soils","001","","9","3.438","33.3","22.2","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"733
Physicochem Basis-Soil Behv","001","","10","3.714","40.0","20.0","10.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"739
Spec Topcs-Geotechncal Engr","001","","7","3.500","28.6","14.3","28.6",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 113 of 375",""
