"GEOGRAPHY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","","65","2.789","13.8","16.9","27.7","18.5","12.3","6.2","3.1","1.5",".",".",".",".",".",".",".","."
"Spatial Org-Human Activity","102","001","","27","3.040","29.6","11.1","18.5","11.1","18.5","3.7",".","7.4",".",".",".",".",".",".",".","."
"","120","001","","93","2.952","16.1","23.7","30.1","11.8","12.9","2.2","3.2",".",".",".",".",".",".",".",".","."
"","120","002","","89","3.051","19.1","20.2","33.7","16.9","5.6","3.4","1.1",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","","182","3.000","17.6","22.0","31.9","14.3","9.3","2.7","2.2",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","","44","2.784","34.1","13.6","15.9","6.8","9.1","11.4","9.1",".",".",".",".",".",".",".",".","."
"","127","001","","65","2.923","18.5","15.4","27.7","21.5","12.3","3.1","1.5",".",".",".",".",".",".",".",".","."
"","127","002","","145","2.906","26.9","7.6","19.3","17.9","24.1","3.4",".",".",".",".",".",".",".","0.7",".","."
"Physical Systems of Envr","","Course Total","","210","2.911","24.3","10.0","21.9","19.0","20.5","3.3","0.5",".",".",".",".",".",".","0.5",".","."
"Resources and People","139","001","","92","3.071","23.9","22.8","19.6","13.0","18.5",".","1.1","1.1",".",".",".",".",".",".",".","."
"World Regions:Concept&Probs","140","001","","32","2.952","6.3","18.8","43.8","15.6","12.5",".",".","3.1",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","","51","3.250","31.4","21.6","33.3","3.9","3.9",".","3.9",".",".",".",".",".",".","2.0",".","."
"Bascom Course","236","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","","55","2.877","9.1","14.5","41.8","9.1","20.0","1.8",".","1.8",".",".",".",".",".","1.8",".","."
"Geog,Politics&Territorialty","318","001","","30","2.867","23.3","16.7","23.3","16.7","10.0","3.3","6.7",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","","36","3.167","25.0","22.2","16.7","13.9","13.9",".",".","8.3",".",".",".",".",".",".",".","."
"","339","001","","62","2.892","16.1","16.1","25.8","24.2","9.7","1.6","3.2","1.6",".",".",".",".",".","1.6",".","."
"","339","002","","74","2.662","14.9","14.9","21.6","20.3","14.9","9.5","4.1",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","","136","2.765","15.4","15.4","23.5","22.1","12.5","5.9","3.7","0.7",".",".",".",".",".","0.7",".","."
"United States and Canada","341","001","","20","2.883","30.0","15.0","15.0","10.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","","31","3.177","38.7","19.4","22.6","3.2","9.7",".","6.5",".",".",".",".",".",".",".",".","."
"The American West","344","001","","40","3.250","32.5","17.5","27.5","12.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity-N Amer: Reg Persp","345","001","","73","3.155","15.1","26.0","35.6","15.1","5.5",".",".","1.4",".",".",".",".",".",".","1.4","."
"Europe","349","001","","45","3.041","11.1","28.9","35.6","8.9","11.1",".","2.2","2.2",".",".",".",".",".",".",".","."
"Soviet Union-Topical Anal","353","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","","31","2.887","25.8","6.5","25.8","16.1","19.4","6.5",".",".",".",".",".",".",".",".",".","."
"","365","001","","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","365","002","","12","3.167","25.0","16.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","","Course Total","","27","3.537","55.6","14.8","14.8","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","","42","3.317","28.6","19.0","38.1","7.1","4.8",".",".","2.4",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","25","3.417","32.0","28.0","24.0","12.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","","17","2.938","29.4","11.8","23.5","11.8","5.9","5.9","5.9",".",".",".",".",".",".","5.9",".","."
"Social Geog-Asian Cities","558","001","","17","3.088","5.9","17.6","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","","14","3.321","50.0","7.1","7.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
