"","990
062","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
064","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
070","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","72","4.000","72.2",".",".",".",".",".",".","25.0","",".",".","",".","2.8","",".",".",".","."
"MICROBIO
192","Dept. Total","1203","3.260","40.8","17.7","17.3","10.3","9.1","2.2","0.3","1.8","",".",".","",".","0.2","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","","",""
"","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Freshmen","","9","2.900","22.2","11.1","33.3","22.2",".","11.1",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","137","3.060","28.5","19.7","24.1","13.9","6.6","7.3",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","295","3.136","26.8","23.4","22.4","10.2","14.9","1.7","0.7",".","",".",".","",".",".","",".",".",".","."
"Senior","","476","3.172","31.5","22.1","18.5","14.1","11.1","2.3","0.4",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","917","3.139","29.4","22.0","20.7","12.9","11.6","2.9","0.4",".","",".",".","",".",".","",".",".",".","."
"Special","","24","3.309","37.5","16.7","12.5","4.2","12.5",".",".","8.3","",".",".","",".",".","",".",".","8.3","."
"Graduate","","259","3.872","81.1","2.7","5.8","1.9",".",".",".","7.7","",".",".","",".","0.8","",".",".",".","."
"Prof Yr 2","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1203","3.260","40.8","17.7","17.3","10.3","9.1","2.2","0.3","1.8","",".",".","",".","0.2","",".",".","0.2","."
