"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","182","3.116","19.8","20.3","35.7","12.6","9.9","1.1",".","0.5",".",".",".",".",".",".",".","."
"","312
001","38","3.395","28.9","31.6","31.6","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","002
312","35","3.386","34.3","25.7","31.4",".","8.6",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","73","3.390","31.5","28.8","31.5","2.7","5.5",".",".",".",".",".",".",".",".",".",".","."
"","365
001","16","3.587","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","21","3.627","61.9","14.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","38","3.618","47.4","28.9","23.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","55","3.691","43.6","50.9","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","114","3.649","48.2","36.8","14.0","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
410","56","3.330","25.0","32.1","21.4","12.5","3.6",".",".","3.6",".",".",".",".","1.8",".",".","."
"","410
002","47","3.283","29.8","21.3","36.2","4.3","4.3",".","2.1","2.1",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","103","3.308","27.2","27.2","28.2","8.7","3.9",".","1.0","2.9",".",".",".",".","1.0",".",".","."
"Valuation of Real Estate","415
001","57","3.325","29.8","28.1","22.8","15.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"","420
001","53","3.529","28.3","47.2","22.6",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","420
002","33","3.688","48.5","39.4","6.1","3.0",".",".",".",".",".",".",".",".",".","3.0",".","."
"Urban & Regional Economics","Course Total","86","3.589","36.0","44.2","16.3","1.2",".",".",".","1.2",".",".",".",".",".","1.2",".","."
"Residentl Property Devlpmnt","611
001","36","3.458","33.3","50.0","5.6","8.3",".",".","2.8",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","21","3.381","28.6","33.3","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","23","3.717","60.9","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
765","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","23","3.784","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
