"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"E M A","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","181","2.492","7.2","8.8","34.3","13.3","20.4","12.2","3.9",".","",".",".","",".",".",".",".",".","."
"Junior","","299","2.584","9.7","13.0","31.1","17.4","17.4","9.7","1.3",".","",".",".","",".",".","0.3",".",".","."
"Senior","","406","2.762","19.5","15.8","24.1","13.8","15.5","8.1","2.7","0.2","",".",".","",".",".","0.2",".",".","."
"Undergraduates","","889","2.647","13.8","13.4","28.5","14.8","17.1","9.4","2.6","0.1","",".",".","",".",".","0.2",".",".","."
"Special","","6","3.219",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","85","3.259","27.1","12.9","24.7","2.4","5.9",".","2.4","16.5","",".","7.1","",".","1.2",".",".",".","."
"","Dept. Total","980","2.695","14.9","13.6","28.3","13.7","16.0","8.6","2.6","1.5","",".","0.6","",".","0.1","0.2",".",".","."
