"L&S","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","112","3.504","53.6","24.1","10.7","5.4","2.7","0.9","2.7",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","","30","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacies Online","301
001","","17","3.500","64.7","5.9","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Social Aspects","340
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","","139","3.862","83.5","8.6","5.0","1.4",".","0.7",".",".",".",".",".",".","0.7",".",".","."
"Online Searching for Info Pro","451
001","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
002","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","29","3.810","69.0","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","","22","3.738","54.5","31.8","9.1",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Info Perspectives, Contexts","Course Total","","80","3.854","75.0","18.8","5.0",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"","602
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
602","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","","21","3.925","81.0","14.3",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Info: Org and Search","Course Total","","72","3.972","93.1","5.6",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Research and Assessment","603
001","","26","3.731","57.7","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","620
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Childrens Literature","622
001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","639
001","","14","3.808","71.4","14.3",".","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","640
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
004","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
007","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","60","3.800","71.7","16.7","11.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","16","3.656","62.5","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","24","3.729","66.7","20.8","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","","8","3.375","12.5","75.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
732","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
