"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT
708","Dept. Total","233","3.663","69.1","11.6","18.0","",".","",".","",".","",".","",".","",".",".","",".","",".","0.4",".","0.4","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","15","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","17","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","35","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","2","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","","58","3.924","87.9","5.2","6.9","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","5","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","83","3.457","32.5","24.1","41.0","",".","",".","",".","",".","",".","",".",".","",".","",".","1.2",".",".","1.2"
"Prof Yr 4","","47","3.862","83.0","8.5","6.4","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","2.1","."
"Professionals","","193","3.625","62.7","14.0","21.8","",".","",".","",".","",".","",".","",".",".","",".","",".","0.5",".","0.5","0.5"
"","Dept. Total","233","3.663","69.1","11.6","18.0","",".","",".","",".","",".","",".","",".",".","",".","",".","0.4",".","0.4","0.4"
