"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDIE Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101
001","","9","3.944","88.9","11.1",".",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"002
101","","7","3.714","57.1","28.6","14.3",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"Course Total
Foundations of US Air Force I","","16","3.844","75.0","18.8","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"201
001
Evolution of US Air & Space I","","15","3.800","66.7","26.7","6.7",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"301
001
Leadership Studies I","","18","4.000","100.0",".",".",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"401
001
National Security Affairs","","13","3.731","53.8","38.5","7.7",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"A F AERO
Dept. Total
102","","62","3.871","75.8","19.4","4.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.950","90.0","10.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","10","3.600","40.0","40.0","20.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","21","3.990","95.2","4.8",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","15","3.767","60.0","33.3","6.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","56","3.866","75.0","19.6","5.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","","62","3.871","75.8","19.4","4.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
