"TERM : 1172","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2016-2017","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","","Section
#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","734
Dept. Total","3.552","36.2","5.2","6.8","1.5","1.5","0.1","",".","44.0","",".",".","",".","",".","0.3",".","4.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","2","***","","","","","","","","","","","",".","",".","",".",".",".","50.0","."
