"ALS","","","","","","","","","","","","","","","","","","","",""
"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","41","3.207","12.2","43.9","24.4","12.2","7.3",".",".",".",".",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","83","2.892","9.6","14.5","51.8","2.4","16.9","4.8",".",".",".",".",".",".",".",".",".","."
"270
Intro to Computer Aided Design","001","","57","3.070","22.8","22.8","22.8","15.8","12.3","3.5",".",".",".",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"351
Struct Design-Ag Facilities","001","","22","2.500","13.6","4.5","27.3","18.2","13.6","13.6","4.5",".",".",".",".",".","4.5",".",".","."
"367","001","","76","3.296","30.3","17.1","42.1","2.6","7.9",".",".",".",".",".",".",".",".",".",".","."
"367","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","77","3.292","29.9","16.9","42.9","2.6","7.8",".",".",".",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","25","3.180","12.0","32.0","40.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"409
Career Management-Engineers","001","","79","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","19","3.500","42.1","15.8","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","17","2.824","11.8","5.9","47.1","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","42","3.342","11.9","21.4",".","9.5","2.4",".",".",".",".",".",".",".","54.8",".",".","."
"517
Biology in Engineering Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
