"EGR","","","","","","","","","","","","","","","","","","","",""
"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"511
Tissue Engineering Laboratory","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","24","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Intro to Energy-Tissue Interac","001","","13","3.500","23.1","53.8","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"550
Intro to Biolog & Med Microsys","001","","26","3.519","34.6","34.6","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","22","3.205","27.3","18.2","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"601","003","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","32","3.355","40.6","21.9","18.8","15.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","38","3.539","42.1","23.7","34.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","28","3.780","53.6","32.1","3.6",".",".",".",".","7.1",".",".",".",".","3.6",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".",".",".","15.4","."
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","13","",".",".",".",".",".",".",".","46.2",".",".",".","53.8",".",".",".","."
"890","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 110 of 423",""
