"L&S","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","32","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","19","3.579","47.4","21.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","35","3.529","40.0","28.6","28.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","106
001","20","3.658","55.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"L&S 2nd Yr Career Development","210
001","142","3.859","88.7","6.3","2.1","0.7",".","0.7","1.4",".",".",".",".",".",".",".",".","."
"","250
001","16","3.914","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","14","3.806","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","13","3.750","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
250","15","3.776","53.3","40.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","005
250","13","3.967","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","13","3.926","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","13","3.897","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
250","15","3.844","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","010
250","15","3.968","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","141","3.874","75.2","21.3","2.1",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","260
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","16","3.125","68.8",".",".",".","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"","003
260","17","3.294","47.1","23.5","5.9","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","53","3.509","73.6","7.5","1.9","3.8","5.7","3.8","3.8",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
