"BUS","","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"722
Logistics Management","001","","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Marketing Channels","001","","50","3.520","30.0","44.0","26.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Seminar-Supply Chain Managemnt","001","","31","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Brand Strategy","001","","36","3.250","11.1","27.8","61.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Marketing in a Digital Age","001","","26","3.560","30.8","46.2","19.2",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"765","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","003","","43","3.849","86.0","4.7","4.7","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","91","3.929","93.4","2.2","2.2","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"799","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"971
Seminar-Marketing PhD","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","","3","***","","","","","","","","","","","","","","","",""
