"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","2468","3.246","30.5","26.1","21.0","8.8","5.8","1.6","1.2","2.6","",".",".","",".","1.6","0.6","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","265","3.055","18.9","26.0","27.5","12.8","10.6","1.9","1.1",".","",".",".","",".",".","1.1",".",".","."
"Sophomore","","440","3.124","21.8","31.6","22.0","10.9","8.2","2.3","1.8","0.2","",".",".","",".",".","0.9","0.2",".","."
"Junior","","618","3.256","29.9","28.0","22.3","11.2","5.7","0.8","1.5",".","",".",".","",".","0.2","0.2","0.2","0.2","."
"Senior","","854","3.322","34.7","25.9","22.7","7.1","4.3","1.9","1.1","0.2","",".",".","",".","1.4","0.6","0.1",".","."
"Undergraduates","","2177","3.224","28.8","27.7","23.1","9.7","6.2","1.7","1.3","0.1","",".",".","",".","0.6","0.6","0.1","0.0","."
"Special","","80","2.975","16.3","12.5","12.5","6.3","10.0","3.8",".","35.0","",".",".","",".",".","1.3",".","2.5","."
"Graduate","","207","3.823","53.6","14.5","2.4","0.5",".",".",".","15.9","",".",".","",".","12.6","0.5",".",".","."
"Prof Yr 2","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2468","3.246","30.5","26.1","21.0","8.8","5.8","1.6","1.2","2.6","",".",".","",".","1.6","0.6","0.1","0.1","."
