"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"826","020","","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"826","060","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","35","3.814","74.3","14.3","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","010","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","060","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","35","3.955","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"847
Health Policy Practicum","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Prevention Science","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Scholarly Project","001","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","13","4.000","61.5",".",".",".",".",".",".","30.8",".",".",".","7.7",".",".",".","."
