"LAW","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","40","1.769","15.0",".","37.5",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","602
001","14","0.857",".",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","23","1.304",".",".","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","Course Total","37","1.135",".",".","37.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","57","1.316","12.3",".","26.3",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","711
002","49","1.653",".",".","55.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","25","1.080",".",".","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","25","0.880","8.0",".","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","711
005","25","0.920","8.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","181","1.260","6.1",".","33.1",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"","714
001","40","0.846",".",".","22.5",".","7.5",".",".",".",".",".",".",".",".",".","2.5","."
"","714
002","38","1.421","13.2",".","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","714
005","38","1.421","15.8",".","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
714","39","1.333","7.7",".","30.8",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","155","1.253","9.0",".","26.5",".","4.5",".",".",".",".",".",".",".",".",".","0.6","."
"","723
001","19","1.632","10.5",".","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","723
002","21","1.190","4.8",".","23.8",".","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","723
003","16","1.000",".",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","723
004","16","1.125",".",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","21","1.429",".",".","47.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","18","0.944",".",".","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
007","18","1.778","11.1",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","20","1.650","5.0",".","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","149","1.356","4.0",".","36.2",".","5.4",".","0.7",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","725
001","47","1.289","6.4",".","25.5",".","10.6",".","2.1","2.1",".",".",".",".",".",".","2.1","."
"","726
001","74","1.425","5.4",".","35.1",".","5.4","2.7",".",".",".",".",".",".",".",".","1.4","."
"","002
726","24","1.375","4.2",".","37.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","003
726","24","1.333","4.2",".","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","726
004","23","1.435",".",".","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","145","1.403","4.1",".","37.2",".","4.8","1.4",".",".",".",".",".",".",".",".","0.7","."
"","731
001","10","1.375","20.0",".","10.0",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"","002
731","46","0.705","2.2",".","17.4",".","2.2",".",".","6.5",".",".",".",".","2.2",".",".","."
"Constitutional Law I","Course Total","56","0.808","5.4",".","16.1",".","1.8",".",".","7.1",".",".",".",".","3.6",".",".","."
"Real Estate Transactions I","732
001","29","1.385","10.3",".","20.7",".","10.3",".","3.4","10.3",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","20","2.421","40.0",".","20.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Religion and the Constitution","739
001","10","1.000","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","51","0.884","7.8",".","11.8",".","3.9",".","2.0","15.7",".",".",".",".",".",".",".","."
"","740
002","42","1.526","4.8",".","38.1",".","2.4",".",".","9.5",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","93","1.185","6.5",".","23.7",".","3.2",".","1.1","12.9",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","28","1.538","21.4",".","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Taxation I","742
001","56","1.300","7.1",".","26.8",".","3.6",".",".","10.7",".",".",".",".",".",".",".","."
"","743
001","14","1.786","28.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
002","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","Course Total","30","1.786","13.3",".","10.0",".",".",".",".","53.3",".",".",".",".",".",".",".","."
