"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Int. English Language Skills","114
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
005","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
007","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Grammar for Academic Use","Course Total","78","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","003
116","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","004
116","15","",".",".",".",".",".",".",".",".",".","80.0","13.3",".",".",".",".","6.7"
"","116
005","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
006","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
007","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
010","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
011","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","012
116","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","116
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
014","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
015","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","016
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
017","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
018","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","019
116","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","116
020","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","306","",".",".",".",".",".",".",".",".",".","96.7","2.9",".",".",".",".","0.3"
"","117
001","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","117
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
011","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","014
117","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
