"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"990","032","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","036","","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","67","",".",".",".",".",".",".",".","85.1",".",".",".","14.9",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","26","3.971","69.2","3.8",".",".",".",".",".","11.5",".",".",".","15.4",".",".",".","."
