"VET","","","","","","","","","","","","","","","","","","",""
"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","89","3.399","34.8","25.8","30.3","2.2","6.7",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","89","3.056","13.5","16.9","52.8","3.4","12.4","1.1",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","20","4.000","55.0",".",".",".",".",".",".","45.0",".",".",".",".",".",".",".","."
"","669
001","25","4.000","16.0",".",".",".",".",".",".","80.0",".",".",".",".","4.0",".",".","."
"","669
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","Course Total","26","4.000","19.2",".",".",".",".",".",".","76.9",".",".",".",".","3.8",".",".","."
"Sr Rotation:Lrge Animal Med","670
001","38","4.000","18.4",".",".",".",".",".",".","81.6",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","27","4.000","63.0",".",".",".",".",".",".","33.3",".",".",".",".",".",".","3.7","."
"","675
001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
002","30","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","675
004","18","",".",".",".",".",".",".",".","94.4",".",".",".",".","5.6",".",".","."
"","675
005","61","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
675","15","4.000","33.3",".",".",".",".",".",".","60.0",".",".",".",".",".",".","6.7","."
"","675
008","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
026","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","159","4.000","57.9",".",".",".",".",".",".","40.9",".",".",".",".","0.6",".","0.6","."
"","678
001","37","4.000","27.0",".",".",".",".",".",".","70.3",".",".",".",".",".",".","2.7","."
"","678
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","40","4.000","30.0",".",".",".",".",".",".","67.5",".",".",".",".",".",".","2.5","."
"","679
001","14","4.000","35.7",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"","679
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Oncology","Course Total","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","12","3.842","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","36","",".",".",".",".",".",".",".","97.2",".",".",".",".",".",".","2.8","."
