"L&S","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","79","3.276","26.6","30.4","22.8","11.4","6.3","1.3",".",".",".",".",".",".","1.3",".",".","."
"","002
101","94","3.489","27.7","45.7","21.3","4.3",".",".",".",".",".",".",".",".","1.1",".",".","."
"","003
101","74","3.203","25.7","27.0","31.1","5.4","8.1",".","2.7",".",".",".",".",".",".",".",".","."
"","101
004","71","3.387","26.8","33.8","32.4","4.2","2.8",".",".",".",".",".",".",".",".",".",".","."
"","006
101","23","3.174","21.7","26.1","39.1","8.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","341","3.338","26.4","34.3","27.3","6.5","3.8","0.3","0.9",".",".",".",".",".","0.6",".",".","."
"","104
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
104","18","3.639","55.6","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","20","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","20","3.575","40.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","80","3.719","62.5","21.3","13.8","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Meaning of Life","141
001","56","3.345","26.8","46.4","16.1","3.6",".","1.8","3.6","1.8",".",".",".",".",".",".",".","."
"","210
001","51","3.284","41.2","15.7","27.5","2.0","7.8","5.9",".",".",".",".",".",".",".",".",".","."
"","003
210","76","2.954","22.4","30.3","17.1","7.9","11.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","127","3.087","29.9","24.4","21.3","5.5","10.2","5.5","3.1",".",".",".",".",".",".",".",".","."
"","211
001","63","3.306","23.8","39.7","17.5","7.9","9.5",".",".",".",".",".",".",".",".",".","1.6","."
"","211
002","76","3.125","40.8","22.4","13.2","5.3","5.3","7.9","5.3",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","139","3.207","33.1","30.2","15.1","6.5","7.2","4.3","2.9",".",".",".",".",".",".",".","0.7","."
"Philosophy and the Sciences","220
001","38","3.092","31.6","10.5","31.6","13.2","7.9","2.6","2.6",".",".",".",".",".",".",".",".","."
"","241
001","71","3.190","23.9","18.3","35.2","16.9","5.6",".",".",".",".",".",".",".",".",".",".","."
"","241
002","138","3.224","11.6","38.4","33.3","13.0","2.2",".",".",".",".",".",".",".","1.4",".",".","."
"Introductory Ethics","Course Total","209","3.213","15.8","31.6","34.0","14.4","3.3",".",".",".",".",".",".",".","1.0",".",".","."
"","341
001","70","3.348","24.3","31.4","34.3","5.7","2.9",".",".","1.4",".",".",".",".",".",".",".","."
"","341
002","72","3.556","43.1","38.9","11.1","2.8","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","341
003","79","3.338","22.8","43.0","24.1","2.5","2.5",".","2.5",".",".",".",".",".",".",".","2.5","."
"","091
341","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","20","3.350","25.0","25.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","093
341","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","273","3.454","33.7","35.9","22.7","3.3","2.2","0.4","0.7","0.4",".",".",".",".",".",".","0.7","."
"Hist of Ancient Philosophy","430
001","41","3.500","41.5","48.8",".",".","2.4",".","4.9",".",".",".",".",".",".","2.4",".","."
"History-Modern Philosophy","432
001","26","3.457","30.8","26.9","23.1","7.7",".",".",".","7.7",".",".",".",".","3.8",".",".","."
"Environmental Ethics","441
001","21","3.333","23.8","52.4","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","18","3.147","16.7","33.3","33.3","5.6",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","22","3.386","31.8","31.8","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops-Theory of Knowldg","504
001","14","3.321","42.9","21.4","28.6",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523
001","16","3.567","43.8","18.8","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","25","3.935","80.0","12.0",".",".",".",".",".",".",".",".",".",".","4.0","4.0",".","."
"Philosophy of Mind","551
001","26","3.229","30.8","23.1","19.2","11.5",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"Metaphysics","560
001","23","3.667","39.1","43.5","8.7",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Senior Honors Seminar","581
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Seminar","582
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","599
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 289 of 423",""
