"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","133","3.624","47.4","40.6","8.3","0.8","2.3",".","0.8",".",".",".",".",".",".",".",".","."
"Comm B Topics in English Lit","140
001","141","3.284","17.0","39.7","31.9","8.5","2.1",".","0.7",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","81","3.369","32.1","35.8","16.0","9.9","2.5","1.2","1.2","1.2",".",".",".",".",".",".",".","."
"Myth and Literature","155
001","19","3.842","94.7",".",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Shakespeare","162
001","180","3.444","47.2","25.0","11.7","6.7","4.4","1.7","1.7","1.1",".",".",".",".","0.6",".",".","."
"British and American Writers","167
002","30","3.603","33.3","50.0","13.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Modern Literature","168
001","251","2.970","11.2","17.1","42.2","16.7","9.6","1.2","0.8","0.8",".",".",".",".","0.4",".",".","."
"Modern American Literature","169
001","20","3.225","25.0","30.0","35.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Literature, Gender & Sexuality","171
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","173
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","173
002","261","3.795","73.2","21.8","2.3","0.8","0.8",".","1.1",".",".",".",".",".",".",".",".","."
"Ethnic and Multicultural Lit","Course Total","278","3.806","74.5","20.9","2.2","0.7","0.7",".","1.1",".",".",".",".",".",".",".",".","."
"Topics in Literature and Film","176
001","17","3.438","23.5","52.9","5.9","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Digital Media, Lit, Culture","178
001","20","3.125","45.0","25.0","5.0","10.0",".","5.0","10.0",".",".",".",".",".",".",".",".","."
"First-Year Honors Seminar","181
001","20","3.425","15.0","60.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literature for Honors","182
001","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
201","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","19","3.368","31.6","42.1","21.1",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","201
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
201","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","19","3.889","84.2",".","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"","010
201","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","173","3.858","80.3","13.3","5.2",".",".",".","0.6",".",".",".",".",".",".","0.6",".","."
"","207
001","14","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
207","16","3.563","75.0","12.5",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","207
003","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
207","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
005","16","3.625","43.8","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","207
006","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
207","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
207","14","3.393","42.9","28.6","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Intro to Creative Writing","Course Total","125","3.580","44.8","39.2","10.4","3.2","0.8","0.8","0.8",".",".",".",".",".",".",".",".","."
"The English Language","214
001","82","3.550","42.7","32.9","17.1","3.7",".",".","1.2","1.2",".",".",".",".",".",".",".","1.2"
"V Nabokov: Russ&Amer Writng","223
001","37","3.788","62.2","21.6","2.7",".","2.7",".",".",".",".",".",".",".","5.4","5.4",".","."
"Literature and Culture I","241
001","99","3.558","41.4","39.4","9.1","3.0","1.0","1.0","1.0","3.0",".",".",".",".",".",".",".","1.0"
"Literature and Culture II","242
001","69","3.574","43.5","31.9","17.4","5.8",".",".",".",".",".",".",".",".",".","1.4",".","."
"","245
001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","20","3.625","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
004","19","3.474","26.3","47.4","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 217 of 423",""
