"L&S","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Strategic Info Services","Course Total","","17","3.588","41.2","47.1","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","734
001","","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","17","3.441","35.3","23.5","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","7","3.417","42.9","14.3","14.3",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","24","3.435","37.5","20.8","29.2","4.2","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","772
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","772
002","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Topics in User Services","847
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","853
001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","853
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metadata Standards & Apps","Course Total","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
855","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
004","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
855","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","48","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Architecture","Course Total","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Use&Users in Context","940
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","9","3.882","66.7",".","11.1",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
