"EGR","","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"E C E
Dept. Total
320","3005","3.375","44.0","16.9","16.6","6.3","5.2","1.1","0.6","5.7","",".","0.1","",".","3.1","0.4","0.1","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","39","3.385","43.6","28.2","10.3","7.7","7.7",".","2.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","210","3.449","52.9","23.3","8.6","5.2","6.2","1.9","1.0",".","",".",".","",".",".","0.5","0.5",".","."
"Junior","665","3.316","48.1","17.4","19.8","7.1","5.3","1.2","0.9",".","",".",".","",".",".","0.2",".",".","."
"Senior","1402","3.315","43.5","18.7","20.6","8.1","7.1","1.2","0.4",".","",".",".","",".",".","0.4",".",".","."
"Undergraduates","2316","3.326","45.7","18.9","19.1","7.5","6.5","1.3","0.6",".","",".",".","",".",".","0.3","0.0",".","."
"Special","66","3.175","34.8","18.2","21.2","10.6","4.5","3.0","3.0","1.5","",".",".","",".",".","1.5",".","1.5","."
"Graduate","625","3.702","38.6","9.3","6.7","1.3","0.3","0.3","0.3","27.2","",".","0.3","",".","14.7","0.6","0.2","0.2","."
"Dept. Total","3007","3.375","44.0","16.9","16.6","6.3","5.2","1.1","0.6","5.7","",".","0.1","",".","3.1","0.4","0.1","0.1","."
