"BUS","","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","","",""
"OTM
238","Dept. Total","737","3.325","30.4","27.7","23.6","9.4","6.6","0.8","",".","0.1","",".",".","",".","",".","1.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","43","3.119","16.3","30.2","23.3","20.9","4.7","2.3","",".",".","",".",".","",".","",".","2.3",".",".","."
"Junior","","169","3.172","20.1","25.4","33.7","11.2","8.9","0.6","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","344","3.235","27.0","25.3","23.8","10.5","9.3","1.2","",".","0.3","",".",".","",".","",".","2.6",".",".","."
"Undergraduates","","556","3.206","24.1","25.7","26.8","11.5","8.8","1.1","",".","0.2","",".",".","",".","",".","1.8",".",".","."
"Special","","38","3.595","44.7","36.8","10.5","7.9",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","141","3.670","51.1","32.6","14.9","1.4",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","737","3.325","30.4","27.7","23.6","9.4","6.6","0.8","",".","0.1","",".",".","",".","",".","1.4",".",".","."
