"L&S","","","","","","","","","","","","","","","","","","",""
"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","100
001","87","3.414","34.5","35.6","18.4","5.7","4.6",".","1.1",".",".",".",".",".",".",".",".","."
"","100
002","106","3.538","32.1","48.1","16.0","2.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"Exploring Biology","Course Total","193","3.482","33.2","42.5","17.1","4.1","2.6",".","0.5",".",".",".",".",".",".",".",".","."
"","101
001","234","2.585","15.4","8.1","30.8","8.1","22.6","10.7","4.3",".",".",".",".",".",".",".",".","."
"","002
101","218","2.441","14.2","4.1","25.7","8.7","28.0","12.4","4.6","0.5","1.4",".",".",".","0.5",".",".","."
"Animal Biology","Course Total","452","2.517","14.8","6.2","28.3","8.4","25.2","11.5","4.4","0.2","0.7",".",".",".","0.2",".",".","."
"","102
001","10","3.150","20.0","30.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","002
102","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","6","3.500","66.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","12","3.000","8.3","25.0","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
102","12","3.375","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","10","3.250","20.0","40.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","010
102","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","8","3.250","37.5",".","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
102","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","016
102","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
102","6","3.250","50.0","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","018
102","13","3.385","38.5","15.4","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","019
102","12","3.167","33.3","16.7","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","020
102","9","3.222","33.3",".","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","195","3.421","37.9","25.1","23.6","10.8","2.1","0.5",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","42","2.738","19.0","7.1","23.8","16.7","26.2","7.1",".",".",".",".",".",".",".",".",".","."
"","151
001","243","2.851","9.9","10.7","46.9","11.5","16.9","3.7",".",".",".",".",".",".","0.4",".",".","."
"","002
151","257","2.782","8.2","7.4","52.1","7.4","19.8","5.1",".",".",".",".",".",".",".",".",".","."
"","003
151","131","2.889","16.8","9.2","45.0","6.9","17.6","2.3","2.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","631","2.831","10.6","9.0","48.7","8.9","18.2","4.0","0.5",".",".",".",".",".","0.2",".",".","."
"Introductory Biology","152
001","406","3.047","19.5","13.5","43.6","8.1","12.3","2.2","0.2",".",".",".",".",".","0.5",".",".","."
"Entering Research Part 1","260
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","33","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","375
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","99","3.991","96.0","1.0",".",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","399
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship/Field Experience","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution Seminar Series UG","522
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Mentor Training","660
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
