"BUS","","","","","","","","","","","","","","","","","","","",""
"","RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","264","3.081","31.8","9.8","33.0","4.9","16.3","2.7","1.5",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","80","3.244","28.8","15.0","38.8","13.8","2.5","1.3",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","39","3.359","30.8","28.2","30.8","7.7",".","2.6",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","39","3.346","28.2","25.6","35.9","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","30","3.550","36.7","40.0","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","660","001","57","3.491","50.9","10.5","35.1",".","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","29","3.500","37.9","31.0","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
