"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","836
020","","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","","89","3.882","82.0","12.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","42","3.857","73.8","23.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
010","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","862
001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","862
002","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","Course Total","","42","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","869
001","","13","3.929","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870
010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870
011","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
870","","24","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessing and Treating Adults","Course Total","","47","3.809","66.0","29.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","873
001","","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","875
001","","19","3.694","42.1","47.4","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","030
875","","13","3.308","15.4","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","Course Total","","32","3.532","31.3","43.8","18.8","3.1",".",".",".",".",".",".",".",".","3.1",".",".","."
"","920
001","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
920","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
920","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","","46","3.848","76.1","19.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","949
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","950
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","8","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","999
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","4.000","28.6",".",".",".",".",".",".","57.1",".",".",".",".",".",".","14.3","."
