"EGR","","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","133","3.489","48.1","24.1","18.0","4.5","2.3","2.3","0.8",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","96","3.745","70.8","14.6","8.3","5.2","1.0",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","48","3.792","70.8","18.8","8.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","28","3.714","64.3","17.9","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","48","3.792","70.8","18.8","8.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","65","3.185","29.2","13.8","38.5","4.6","12.3","1.5",".",".",".",".",".",".",".",".",".","."
"","348","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","004","19","3.868","89.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","80","3.950","95.0","1.3","2.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","119","3.866","78.2","17.6","3.4","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","35","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","56","3.750","51.8","46.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","43","3.837","72.1","25.6",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","15","3.267","40.0","13.3","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","450","001","34","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","31","3.468","35.5","32.3","22.6","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","50","3.710","62.0","24.0","8.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","002","42","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","26","3.788","69.2","23.1","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552","001","29","3.828","75.9","17.2","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","601","003","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","15","3.467","40.0","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","25","3.271","28.0","32.0","16.0","4.0","16.0",".",".","4.0",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engineering Supply Chains","645","001","33","3.682","51.5","33.3","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
