"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","40","3.938","95.0","2.5",".",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","151
001","108","3.736","69.4","16.7","9.3","0.9","3.7",".",".",".",".",".",".",".",".",".",".","."
"","160
002","18","3.278","22.2","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","003
160","22","3.341","27.3","36.4","13.6","22.7",".",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","40","3.313","25.0","35.0","17.5","22.5",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","14","3.107","7.1","42.9","14.3","35.7",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","25","3.420","28.0","40.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","23","3.326","30.4","30.4","13.0","26.1",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","62","3.315","24.2","37.1","16.1","22.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","194","3.184","30.4","22.2","18.6","14.4","7.2","3.1","1.0",".",".",".",".",".","1.0","2.1",".","."
"","240
001","72","2.917","13.9","25.0","25.0","22.2","6.9","4.2","2.8",".",".",".",".",".",".",".",".","."
"","002
240","61","2.984","19.7","21.3","21.3","24.6","8.2","3.3","1.6",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","133","2.947","16.5","23.3","23.3","23.3","7.5","3.8","2.3",".",".",".",".",".",".",".",".","."
"Eng. Problem Solving EES","273
001","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","27","3.879","85.2","11.1",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","299
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.875","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","50","2.990","20.0","28.0","26.0","10.0","6.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"","002
306","57","2.956","10.5","31.6","31.6","12.3","7.0","3.5","3.5",".",".",".",".",".",".",".",".","."
"","306
003","39","2.872","10.3","15.4","46.2","15.4","2.6","10.3",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","146","2.945","13.7","26.0","33.6","12.3","5.5","6.2","2.7",".",".",".",".",".",".",".",".","."
"","307
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","9","3.389","44.4","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","7","3.143",".","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","7","3.143","14.3","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","008
307","8","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
307","13","3.423","15.4","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","10","3.200",".","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","307
012","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","013
307","13","3.577","15.4","84.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","10","3.400",".","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","121","3.413","18.2","56.2","17.4","6.6","1.7",".",".",".",".",".",".",".",".",".",".","."
"","001
313","55","3.255","12.7","27.3","58.2","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
313","55","3.073","5.5","25.5","54.5","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","110","3.164","9.1","26.4","56.4","4.5","3.6",".",".",".",".",".",".",".",".",".",".","."
"","001
314","58","3.310","10.3","46.6","39.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","002
314","55","3.218","16.4","36.4","30.9","10.9","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","113","3.265","13.3","41.6","35.4","6.2","2.7","0.9",".",".",".",".",".",".",".",".",".","."
