"ALS","","","","","","","","","","","","","","","","","","",""
"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.600","66.7","6.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
100","16","3.656","68.8","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
100","14","3.643","64.3","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","15","3.633","60.0","33.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
005","16","3.625","43.8","50.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
100","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","010
100","15","3.667","53.3","40.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","011
100","16","3.406","56.3","6.3","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","012
100","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","185","3.627","55.1","28.1","9.2","4.3","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","16","3.375","50.0","25.0",".","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","212
001","20","3.368","40.0","10.0","35.0",".","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"","002
212","23","3.543","69.6","13.0",".",".","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","43","3.464","55.8","11.6","16.3",".","11.6","2.3",".",".",".",".",".",".","2.3",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","57","3.588","54.4","21.1","15.8","5.3","3.5",".",".",".",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","270
001","48","3.469","33.3","37.5","22.9","2.1","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","54","3.613","46.3","27.8","24.1",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Information Radio","360
001","18","3.611","50.0","33.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advertising in Life Sciences","431
001","30","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","28","3.607","46.4","32.1","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","32","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","25","3.580","56.0","28.0","4.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","17","3.647","52.9","35.3","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","880
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn","901
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Opinion-Life Sci Issues","902
002","23","3.864","78.3","8.7","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","5","***","","","","","","","","","","","","","","","",""
"Independent Research","999
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
