"L&S","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.525","35.0","40.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","22","3.477","31.8","40.9","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","22","3.523","50.0","27.3","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.050","15.0","30.0","30.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","008
101","19","3.237","15.8","31.6","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","17","3.265","17.6","29.4","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","011
101","22","3.071","22.7","40.9","4.5","18.2",".",".","9.1","4.5",".",".",".",".",".",".",".","."
"","101
012","17","3.147","35.3","35.3","11.8","5.9",".",".","11.8",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","159","3.294","28.3","34.6","21.4","11.3",".","0.6","3.1","0.6",".",".",".",".",".",".",".","."
"","102
002","19","3.632","52.6","31.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","003
102","22","3.500","31.8","45.5","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","17","3.688","47.1","35.3","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","006
102","18","3.344","38.9","22.2","16.7","5.6",".",".","5.6","5.6",".",".",".",".","5.6",".",".","."
"Second Semester French","Course Total","76","3.541","42.1","34.2","14.5","1.3","2.6",".","1.3","1.3",".",".",".",".","2.6",".",".","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","24","3.396","16.7","50.0","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","12","3.125","8.3","58.3","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","203
006","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","18","3.389","22.2","44.4","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
009","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","010
203","13","3.000","23.1","23.1","23.1","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","96","3.333","22.9","41.7","26.0","4.2","3.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"","204
002","18","3.028","16.7","27.8","22.2","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","204
003","17","2.824","5.9","29.4","41.2","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","204
004","20","3.400","30.0","30.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","006
204","23","3.283","13.0","52.2","21.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","204
008","14","3.214","7.1","42.9","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","92","3.163","15.2","37.0","31.5","6.5","6.5","2.2","1.1",".",".",".",".",".",".",".",".","."
"","227
001","25","3.520","32.0","40.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
227","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
004","24","3.708","58.3","33.3","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","73","3.678","52.1","34.2","12.3",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","228
001","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","003
228","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","011
228","16","3.000","37.5","12.5","12.5","12.5","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"","012
228","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
228","12","3.375","8.3","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","65","3.306","27.7","35.4","20.0","9.2","6.2",".","1.5",".",".",".",".",".",".",".",".","."
"","271
001","7","3.250","57.1","14.3",".",".",".",".","14.3",".",".",".",".",".","14.3",".",".","."
"","271
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
271","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 223 of 423",""
