"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","204
011","24","3.739","66.7","8.3","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","012
204","24","3.500","41.7","29.2","16.7","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","014
204","24","3.667","66.7","16.7","12.5",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","204
015","24","3.646","50.0","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
017","22","3.409","31.8","27.3","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","018
204","22","3.227","22.7","36.4","31.8",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","204
019","12","3.083",".","33.3","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","204
020","16","3.281","25.0","31.3","31.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","352","3.536","47.4","24.4","21.6","2.8","2.6","0.3","0.6","0.3",".",".",".",".",".",".",".","."
"","223
001","115","3.361","51.3","13.0","19.1","5.2","7.0","0.9","3.5",".",".",".",".",".",".",".",".","."
"","223
002","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","140","3.468","58.6","12.1","15.7","4.3","5.7","0.7","2.9",".",".",".",".",".",".",".",".","."
"","224
001","98","3.372","37.8","24.5","23.5","7.1","6.1",".","1.0",".",".",".",".",".",".",".",".","."
"","224
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","18","3.361","55.6","11.1","5.6","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"","224
004","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","137","3.460","48.2","20.4","17.5","5.8","7.3",".","0.7",".",".",".",".",".",".",".",".","."
"","226
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
226","16","3.406","6.3","68.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
226","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
226","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","16","3.688","62.5","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","226
008","18","3.472","27.8","38.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
009","19","3.763","68.4","26.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","010
226","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
012","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
226","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
226","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
017","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
018","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
226","17","3.353","64.7","11.8","5.9",".","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","226
020","20","3.875","85.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
021","17","3.706","76.5","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","022
226","19","3.368","26.3","31.6","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
023","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","024
226","18","3.722","77.8",".","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","226
025","20","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-Writng&Grammr","Course Total","393","3.740","67.7","19.3","10.4","0.5","1.3","0.5","0.3",".",".",".",".",".",".",".",".","."
"","311
001","20","3.475","30.0","50.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
311","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","17","3.265","35.3","41.2","5.9",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","311
005","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
