"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","12","",".",".",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".","."
"682
Senior Honors Thesis","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690
Thesis Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"701
History in Global Perspective","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"707
Erly Mod Eurp His,1500-1789","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"710","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Development Sem","Course Total","","17","4.000","88.2",".",".",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"753
Smr-Comparative World Hist","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","002","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"800
Research Seminar in History","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"805
Seminar-Medieval History","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Resrch Smr-Latin Amer Hist","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"857
Smr-Hist of India (S Asia)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-History of Africa","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Prosem-Mod European History","001","","12","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Intro-Hist for U.S. Historians","001","","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"901
Studies in American History","002","","10","3.833","40.0","20.0",".",".",".",".",".","10.0",".",".",".",".","30.0",".",".","."
"907
Smr-History of Education","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Seminar in Amer Environ Hist","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"936
Hist-Women & Gender-US to 1870","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Indians and Empires","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"983
Intdept Smr-African Studies","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
