"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"901
Smr-Mod Afr Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"999
Indep Reading & Research","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"AFRICAN
104","Dept. Total","","398","3.675","58.3","25.4","8.3","1.8","1.5","0.8","0.5","2.8",".",".",".","0.5","0.3",".",".","."
